fuente,firma_encuestadora,fecha_publicacion,muestra,margen_de_error,alfredo_saade,arelis_uriana,camilo_romero,francia_marquez,gustavo_petro,roy_barreras,ninguno,blanco,ns_nr,alejandro_gaviria,carlos_amaya,jorge_enrique_robledo,juan_fernando_cristo,juan_manuel_galan,sergio_fajardo,alejandro_char,aydee_lizarazo,david_barguil,dilian_francisca_toro,enrique_penalosa,federico_gutierrez,juan_carlos_echeverry,coalicion_centro_esperanza,coalicion_centro_esperanza_2,coalicion_centro_esperanza_3,coalicion_equipo_por_colombia,coalicion_equipo_por_colombia_2,coalicion_equipo_por_colombia_3,coalicion_equipo_por_colombia_4,enrique_gomez,ingrid_betancourt,gilberto_murillo,oscar_ivan_zuluaga,rodolfo_hernandez_s,john_milton_rodriguez,luis_perez,otros,angela_robledo,german_vargas_lleras,humberto_de_la_calle,juan_carlos_pinzon,maria_fernanda_cabal,marta_lucia_ramirez,miguel_ceballos,paloma_valencia,rodrigo_lara,simon_gaviria,tomas_uribe,aurelio_iragorri_valencia,carlos_holmes_trujillo,fernando_carrillo_florez,ivan_marulanda,rafael_nieto_loaiza
El Tiempo[1]​,Guarumo,06-03-2022,2345,2.5,0.2,1.8,5.9,10.5,81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,0.3,1.7,5.9,13.5,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Tiempo[3]​,CNC,05-02-2022,2206,2.1,1,4,4,12,77,NA,1,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semana[4]​,CNC,11-12-2021,4093,1.5,NA,1,4,3,89,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,0,2.8,4.5,7.5,82.4,2.7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Tiempo[1]​,Guarumo,06-03-2022,2345,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,10.4,8.5,NA,22.1,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,14.9,10.5,NA,23.9,37.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Tiempo[3]​,CNC,05-02-2022,2206,2.1,NA,NA,NA,NA,NA,NA,4,NA,1,11,8,5,1,31,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semana[4]​,CNC,11-12-2021,4093,1.5,NA,NA,NA,NA,NA,NA,2,NA,2,17,4,3,NA,31,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,NA,NA,NA,NA,NA,NA,NA,0.7,NA,9.5,5.3,5.5,3.1,32.4,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Tiempo[1]​,Guarumo,06-03-2022,2345,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,4.2,21.4,NA,11.8,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7,12.3,15.5,NA,18.7,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Tiempo[3]​,CNC,05-02-2022,2206,2.1,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,30,5,6,NA,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semana[4]​,CNC,11-12-2021,4093,1.5,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,34,NA,4,6,21,24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,26.1,NA,8.8,10.6,22.7,26.4,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,44.6,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,8.7,1,6.2,1,9,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,44.6,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,11.9,0.7,6.3,1.3,9,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,45.4,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,13.7,1.7,8.1,0.9,9.7,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,43.5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,5.4,NA,NA,NA,1.7,7.1,0.8,9.7,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,45.5,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,NA,NA,3.4,NA,1.4,7.5,0.8,10.3,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,45.4,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,6.3,NA,NA,NA,1.7,6.7,1.1,11.5,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,47.6,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,4.1,NA,1.8,8.8,1.5,13,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,44.9,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,NA,3.4,NA,NA,1.5,7.2,1.1,10.9,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,46.5,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5.8,NA,NA,NA,2.2,8.9,1.2,13.2,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,47.2,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,4.1,NA,NA,1.9,8.8,1.4,13.6,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,46.3,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,3.2,NA,NA,2.2,7.3,1.4,11.4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BluRadio[2]​,Invamer,04-03-2022,1504,2.92,NA,NA,NA,NA,46,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,3.2,NA,1.9,7.4,1.1,11.9,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,NA,NA,NA,NA,42.1,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA,NA,11.4,NA,NA,NA,12.7,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,NA,NA,NA,NA,43.6,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,14,NA,NA,NA,15.7,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,NA,NA,NA,NA,47.2,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,15.9,NA,NA,NA,15.6,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,NA,NA,NA,NA,43.3,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,10.5,NA,NA,NA,NA,NA,NA,13.1,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,NA,NA,NA,NA,48.4,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8,NA,NA,NA,12,NA,NA,NA,NA,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,NA,NA,NA,NA,47.2,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,10.7,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,NA,NA,NA,NA,48.4,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,5.9,NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracol TV[5]​,Invamer,05-12-2021,1200,3.49,NA,NA,NA,NA,46.6,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,12.1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Tiempo[1]​,Guarumo,06-03-2022,2345,2.5,0.1,0.8,0.5,2.5,32.7,NA,1.5,4.8,2.4,3.4,1.5,1.2,NA,3.4,9.1,6.4,0.3,3.5,NA,1.4,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,5.3,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CELAG[6]​,CELAG,08-02-2022,2126,2.19,NA,NA,NA,NA,28.1,NA,15.1,11.8,10.1,3.4,NA,NA,NA,2.3,7.2,11.3,NA,NA,NA,0.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Colombiano[7]​,Yanhaas,06-02-2022,1225,3.2,0.1,0.4,1,3,27,NA,NA,19,8,1,1,1,0.1,3,7,5,1,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,12,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Tiempo[3]​,CNC,05-02-2022,2206,2.1,NA,NA,NA,NA,27,NA,6,11,6,2,NA,NA,NA,4,6,5,NA,1,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,4,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Colombiano[8]​,Yanhaas,13-12-2021,1230,2.8,NA,NA,NA,NA,25,NA,NA,18,8,1,NA,NA,NA,5,8,5,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semana[4]​,CNC,11-12-2021,4093,1.5,NA,NA,NA,NA,25.4,NA,NA,17.4,5.9,2.3,NA,NA,NA,3.9,7.3,4.5,NA,0.6,NA,2.1,3.3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,11,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM& [9]​,CNC,12-11-2021,1069,3,NA,NA,1,NA,22,NA,NA,7,11,5,NA,1,NA,5,5,NA,NA,1,NA,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,1,19,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Espectador[10]​,Datexco,02-11-2021,1200,NA,NA,NA,NA,NA,26,NA,NA,9,9,6,NA,NA,NA,5,10,NA,NA,NA,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,11,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semana[11]​,CNC,16-10-2021,2012,NA,NA,NA,NA,NA,19.7,0.6,NA,22.5,4.4,2.6,NA,1.8,NA,4.2,5.8,NA,NA,1.3,NA,1.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4.6,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA
Valora Analitik[13]​,CNC,08-09-2021,2019,2.4,NA,NA,NA,NA,17,NA,NA,NA,4,3,NA,NA,NA,6,7,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valora Analitik[14]​,Guarumo,19-08-2021,1367,2.5,NA,NA,1.2,NA,21.6,NA,NA,10.8,4.4,NA,NA,1.2,NA,6,12.7,4.2,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,3.3,NA,NA,7.1,NA,NA,1.6,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Invamer,13-08-2021,1008,4.4,NA,NA,NA,NA,30.2,NA,NA,4.6,NA,2.6,NA,0.9,NA,10,14.5,3.8,NA,NA,NA,3.5,6.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,11,NA,NA,NA,NA,4.2,4,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semana[15]​,CNC,26-06-2021,2077,2.4,NA,NA,NA,NA,21,NA,NA,26,24,2,NA,NA,NA,5,6,3,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Infobae[16]​,CELAG,10-06-2021,1945,NA,NA,NA,NA,NA,30.3,NA,NA,14.3,5.2,NA,NA,NA,NA,7.3,14.7,4.3,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,5.2,6.2,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA
El Tiempo[17]​,Guarumo,25-05-2021,1480,NA,NA,NA,NA,NA,20.6,NA,NA,20.4,15.8,NA,NA,2,NA,3,9.8,4.8,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,2.3,2.8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
