candidato,estimate_infer1,li_infer1,ls_infer1,estimate_infer2,li_infer2,ls_infer2,estimate_infer3,li_infer3,ls_infer3,estimate_infer4,li_infer4,ls_infer4,estimate_infer5,li_infer5,ls_infer5
alfredo_saade,0.28,-0.1,0.67,0.25,0.96,1.62,0.28,0.08,0.58,0.28,0.02,0.55,0.19,0.05,0.65
arelis_uriana,1.79,0.63,2.95,1.56,1.7,3.85,1.79,1,2.7,1.79,0.93,2.65,1.59,0.8,2.8
camilo_romero,3.11,1.43,4.8,2.54,2.22,5.63,3.11,1.79,4.47,3.11,1.77,4.45,3.06,1,5.9
francia_marquez,7.43,3.11,11.75,6.23,4.08,12.81,7.44,4.21,10.71,7.44,4.22,10.66,7.17,3,12
gustavo_petro,38.07,33.01,43.13,34.39,31.24,40.09,38.09,33.41,43.16,38.09,33.21,42.98,36.64,27,44.75
alejandro_gaviria,5.07,2.66,7.47,3.52,3.3,6.2,5.09,3.07,7.48,5.09,2.86,7.32,2.76,2,5
carlos_amaya,6.44,1.8,11.08,4.93,2.91,12.05,6.45,3.2,10.06,6.45,2.98,9.92,5.81,1.5,10.4
jorge_enrique_robledo,3.03,1.87,4.19,2.49,2.76,4.42,3.04,2.08,4.18,3.04,1.98,4.1,2.13,1.8,3
juan_manuel_galan,9.21,5.72,12.71,6.76,5.97,10.09,9.24,6.21,12.89,9.24,5.9,12.59,5.49,4.2,7.3
sergio_fajardo,16.76,12.55,20.96,13.73,11.82,18.35,16.79,12.97,21.11,16.79,12.76,20.82,13.45,9.1,18.1
alejandro_char,9.89,6.27,13.51,7.44,6.5,10.95,9.94,6.74,13.51,9.94,6.52,13.35,5.94,5,7.4
aydee_lizarazo,4.56,-1.36,10.48,3.04,1.28,12.74,4.58,1.36,8.44,4.58,0.84,8.31,3.81,0.3,12.3
david_barguil,5.83,1.21,10.44,3.54,2.44,8.45,5.82,2.42,10.03,5.82,2.01,9.63,3.32,1,8.8
enrique_penalosa,6.69,2.62,10.77,3.75,2.93,7.7,6.73,3.24,10.63,6.73,3.02,10.43,2.69,1.7,7.9
federico_gutierrez,9.57,6.39,12.76,7.2,6.4,10.49,9.6,6.84,12.88,9.6,6.56,12.64,6.42,4.9,8.7
